,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE36,Intitulé de l'EC,ETEP2,Electronique de puissance et Electrotechnique 2,,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,62,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,2,C,,,,,,,,,,,,,,,
,Sous compétence,Mettre en œuvre les matériaux magnétiques dans les transformateurs et machines électriques tournantes,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Modéliser le circuit magnétique d’un transformateur ou d'une machine électrique,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Mettre en œuvre et modéliser le couplage magnétique entre deux circuits électriques.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Pertes magnétiques dans un transformateur,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Relations entre grandeurs électriques et grandeurs magnétiques au sein d'un transformateur,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Circuits-couplés, Circuits magnétiques",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,2,C,,,,,,,,,,,,,,,
,Sous compétence,Mettre en œuvre les machines à courant alternatif : Machine Synchrone et  Asynchrone triphasée,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Modéliser le fonctionnement en régime permanent d'un système entrainé par une machine électrique,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Calculer les grandeurs électriques dans les  enroulements d'une machine,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Câbler, démarrer, contôler la vitesse d'une machine électrique",,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaitre  la constitution et le principe de fonctionnement,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Comprendre les interactions entre la machine tournante et le système mécanique associé dans les quatre quadrants,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaitre les schémas équivalents en régime permanent et les diagrammes vectoriels associés,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sous compétence,Mettre en œuvre les transformateurs électriques à couplage magnétique monophasé et triphasé,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Modéliser le fonctionnement en régime permanent,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Calculer les grandeurs électriques dans les différnets enroulements,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Schématiser, Caractériser le fonctionnement en régime permanent",,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaitre  la constitution et le principe de fonctionnement,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaissance du schéma équivalent d'un transformateur,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sous compétence,Mettre en œuvre la méthode des composantes symétriques pour étudier le fonctionnement d'un réseau triphasé déséquilibré,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Utiliser les composantes symétriques pour modéliser un système triphasé déséquilibré,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Calculer et mesurer les impédances cycliques d'un système triphasé simple,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Calculer les courants de court-circuit aux bornes d'un système triphasé simple,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaissance des transformations de Fortescue,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaissance des impédances cycliques d'un système triphasé,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
