A1 : Analyser un système (ou un problème) réel ou virtuel	 9	
Capacité	Analyser un standard : identifier les différentes fonctions et leurs rôles	TC-4-T-CNA
Capacité	Comprendre les nouvelles technologies	TC-4-T-CNA
Capacité	Anticiper sur les évolutions technologiques à venir pour les systèmes radio	TC-4-T-CNA
Capacité	Analyser (comprendre la chaîne de traitement, identifier les différentes briques) les standards de compression de la parôle, de l'audio, des images et des vidéos	TC-4-T-TIP
Capacité	Concevoir une chaîne de compression de la parôle, de l'audio, des images et des vidéos	TC-4-T-TIP
Capacité	Analyser et expliquer une attaque documentée	TCA-5-OP4-SRS
Connaissance	Standards radio (couche PHY) : Wifi, GSM, UMTS, LTE,¿	TC-4-T-CNA
Connaissance	Approximation optimale des signaux et des images	TC-4-T-TIP
Connaissance	Techniques de quantification et de codage parôle, audio, image 2D et vidéo	TC-4-T-TIP
Connaissance	Standards de compression de parôle, audio, image et vidéo	TC-4-T-TIP
Connaissance	Perspective historique sur l'évolution du RTC et des technologies d'accès/ collecte ADSL	TC-4-T-BLF
Connaissance	Générations de technologies xDSL	TC-4-T-BLF
Connaissance	Rentabiliser, convergence	TC-4-T-BLF
Connaissance	Usage et mise en œuvre d'un IDS	TCA-5-OP4-SRS
A2 : Exploiter un modèle d'un système réel ou virtuel	 8	
Capacité	Modéliser une expérience aléatoire : univers, évènement, variables aléatoire, signal aléatoire	TC-3-R-PBS
Capacité	Exploiter la modélisation statistique d'un problème pour le résoudre en calculant une probablité, une espérance, la dsp d'un signal aléatoire, etc	TC-3-R-PBS
Capacité	Savoir mettre en place une approche scientifique permettant l'analyse des performances d'un système en modélisant correctement le système et les entrées et en calculant et analysant des métriques de performance en sortie	TC-4-R-PRF
Capacité	Programmer un micro-contrôleur:	TC-5-OP3-BED
Capacité	Construire une distribution linux pour un système embarqué	TC-5-OP3-BED
Connaissance	Notions de l'algorithmique :  définition, écriture, preuve, complexité en temps et mémoire	TC-3-I-ALG
Connaissance	Algorithmes fondamentaux :  tris, file/liste, parcours d'arbre, de graphes	TC-3-I-ALG
Connaissance	Univers, expérience, évènement. Notion de probabilité (fréquentielle, axiomatique). Prob. élémentaires et conditionnelles, indépendance, théorème de Bayes	TC-3-R-PBS
Connaissance	Principales lois de probabilité des variables aléatoires discrètes et continues. Espérance, variance, fonction d'une variable aléatoire.	TC-3-R-PBS
Connaissance	Théorème de Bienaymé-Tchebycheff, Théorème de Bernouilli, Théorème central limite	TC-3-R-PBS
Connaissance	Couples de variables aléatoires : loi conjointe, lois marginales, conditionnelles. Covariance, cœf de corrélation. Fonction d'un couple de variables aléatoires	TC-3-R-PBS
Connaissance	Processus stochastique, stationnarité et ergodisme, dsp d'un signal aléatoire (théorème de Wiener Khintchine), filtrage d'un signal aléatoire.	TC-3-R-PBS
Connaissance	Variable aléatoire, loi de probabilité, loi normale, Théorème Central Limite, Modèle	TC-3-R-PBS
Connaissance	Bitcoin	TC-4-I-SYD
Connaissance	Paxos	TC-4-I-SYD
Connaissance	Raft	TC-4-I-SYD
Connaissance	Programmation C embarqués	TC-5-OP3-BED
Connaissance	Gestionnaire d'interruption, pilotes de périphériques, OS léger	TC-5-OP3-BED
A3 : Mettre en œuvre une démarche expérimentale	 5	
Capacité	Déployer et configurer un réseau local	TC-3-R-IP
Capacité	Câbler, manipuler une baie de brassage	TC-3-R-IP
Capacité	Utiliser le logiciel Wireshark pour collecter et analyser des traces	TC-3-R-IP
Capacité	Mesurer les performances d'un réseau local	TC-3-R-IP
Capacité	Concevoir un banc de test permettant de mettre en évidence expérimentalement un aspect connu de façon théorique	TC-4-T-PSC
Capacité	Concevoir une procédure de test et d'évaluation du système complet en fonction de critères pertinents. Par exemple, évaluer : le taux d'erreur binaire, le débit atteint, le nombre d'utilisateurs, etc;  en fonction de : la longueur d'une ligne ADSL, la charge d'une zone donnée desservie par un AP wifi, la norme de référence utilisée, etc etc	TC-4-T-PSC
A4 : Concevoir un système répondant à un cahier des charges	 8	
Capacité	Savoir manipuler la plateforme IoT-lab	TC-5-OP2-SCP
Capacité	Programmer des capteurs communicants	TC-5-OP2-SCP
Capacité	Collecter des données de capteurs et d'usage du réseau	TC-5-OP2-SCP
Capacité	Analyser les caractéristiques d'un réseau radio	TC-5-OP2-SCP
Capacité	Connaître les enjeux de l'IA en Robotique	TC-5-OP3-IAR
Capacité	Implémenter un algorithme de plus court chemin comme A*	TC-5-OP3-IAR
Capacité	Modéliser un problème de prise de décision comme un MDP	TC-5-OP3-IAR
Capacité	Expliquer les objectifs sous-jacents de l'apprentissage par renforcement	TC-5-OP3-IAR
Capacité	Comprendre les principaux résultats de convergence des algorithmes de programmation dynamique	TC-5-OP3-IAR
Capacité	Implémenter les algorithmes d'apprentissage par renforcement exacts et approchés	TC-5-OP3-IAR
Capacité	Implémenter un comportement de navigation réactive et de téléopération	TC-5-OP3-SMR
Capacité	Implémenter un algorithme de planification et suivi de chemin (type A*)	TC-5-OP3-SMR
Capacité	Développer sur le middleware ROS (Robotic Operating System)	TC-5-OP3-SMR
Capacité	Piloter un robot Turtlebot	TC-5-OP3-SMR
Capacité	Exploiter une camera pour la navigation d'un robot	TC-5-OP3-SMR
Capacité	Programmer un mécanisme d'appel système	TC-5-OP3-OSA
Connaissance	Problématiques des villes intelligentes et de l'Internet des objets	TC-5-OP2-SCP
Connaissance	Déploiements d'architectures de réseaux, notamment de capteurs, dans l'espace urbain	TC-5-OP2-SCP
Connaissance	Différentes familles de topologies et protocoles réseaux utilisés	TC-5-OP2-SCP
Connaissance	Tour d'horizon des acteurs et cas d'usage majeurs sur le marché ou à venir	TC-5-OP2-SCP
Connaissance	Agent : architectures pour la robotique, Systèmes-Multi-Agents	TC-5-OP3-IAR
Connaissance	Architectures bio-inspirées et Swarm robotics	TC-5-OP3-IAR
Connaissance	Algorithmes de planification A*	TC-5-OP3-IAR
Connaissance	Processus décisionnel de Markov (MDP)	TC-5-OP3-IAR
Connaissance	Problème d¿apprentissage par renforcement	TC-5-OP3-IAR
Connaissance	Algorithmes d'apprentissage par renforcement: policy, value iteration, Qlearning, Sarsa, DQN, policy gradient	TC-5-OP3-IAR
Connaissance	Schémas d'approximation linéaire et non-linéaire (avec réseaux de neurones)	TC-5-OP3-IAR
Connaissance	Différentes architectures de contrôle	TC-5-OP3-SMR
Connaissance	Représentations de l'environnement (carte métrique, topologique,..)	TC-5-OP3-SMR
Connaissance	Problèmes multi-robot tel que la connectivité et la cartographie et solutions	TC-5-OP3-SMR
Connaissance	Navigation réactive pour robot mobile	TC-5-OP3-SMR
Connaissance	Principaux types de capteurs (laser, camera 2D/3D)	TC-5-OP3-SMR
Connaissance	Le middleware ROS	TC-5-OP3-SMR
Connaissance	Plateforme robots Turtlebots.	TC-5-OP3-SMR
Connaissance	Compilation séparé, édition de lien	TC-5-OP3-OSA
Connaissance	Mode d'exécutions et privilèges CPU	TC-5-OP3-OSA
Connaissance	Appels système	TC-5-OP3-OSA
Connaissance	Isolation noyau/application	TC-5-OP3-OSA
Connaissance	Changement de contexte	TC-5-OP3-OSA
A5 : Traiter des données	 15	
Capacité	Prototyper un flot de traitements de données en python.	TC-3-I-ELP
Capacité	Choisir une structure de données pour implémenter un algorithme	TC-3-I-CRO
Capacité	Modéliser, concevoir et interroger un système d'information	TC-3-I-WEB
Capacité	Mener une analyse conceptuelle	TC-3-I-WEB
Capacité	Etant donné une base de données images ou vidéos, mettre en œuvre les techniques d'analyse de données (Apprentissage "Machine Learning" et Apprentissage profond "Deep Learning") pour classer ou identifier des objets visuels (Intelligence Artificielle)	TC-4-T-TIP
Capacité	Prendre en main une infrastructure de traitement massif de données	TCA-5-OP4-ELK
Capacité	Implanter un workflow de calcul allant de l'accès aux données jusqu'à la visualisation des résultats	TC-5-TR-CSAD
Capacité	Concevoir et entraîner un réseau de neurones profond pour un problème de classification	TC-5-TR-CSAD
Capacité	Exploiter les infrastructures de calcul distribué (lancement d'applications dans le cloud, manipulation d'images virtuelles etc.)	TC-5-TR-CSAD
Capacité	Modéliser un jeu de données sous la forme d'un graphe	TC-5-TR-CSAD
Capacité	Identifier et appliquer les algorithmes adaptés à un modèle de graphe donné	TC-5-TR-CSAD
Connaissance	Visualisation de données avec NumPy, SciPy et matplotlib.	TC-3-I-ELP
Connaissance	Structures de données récursives (listes, arbres),	TC-3-I-ELP
Connaissance	Liste chainée, tableau, arbre	TC-3-I-CRO
Connaissance	Format Entité/Association et schéma relationnel	TC-3-I-WEB
Connaissance	Écriture de requêtes au format SQL et prise en compte des contraintes de clés primaires et étrangères	TC-3-I-WEB
Connaissance	Langage de structuration de données Web (JSON, XML, HTML, etc)	TC-3-I-PWEB
Connaissance	Chiffrement des données	TC-4-R-NAS
Connaissance	ElasticSearch	TCA-5-OP4-ELK
Connaissance	Comprendre l'écosystème de calcul scientifique en Python	TC-5-TR-CSAD
Connaissance	Comprendre les principes algorithmiques de l'apprentissage statistique et neuronal	TC-5-TR-CSAD
Connaissance	Comprendre les infrastructures de calcul distribué (Data_Form et cloud) et leurs usages	TC-5-TR-CSAD
Connaissance	Comprendre les algorithmes de détection de communautés appliqués aux graphes aléatoires, temporels, small world et "scale-free".	TC-5-TR-CSAD
A6 : Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité	 9	
Capacité	Modéliser une expérience aléatoire : univers, évènement, variables aléatoire, signal aléatoire	TC-3-R-PBS
Capacité	S'insérer dans une équipe de recherche	TC-3-P-PTIR
Capacité	Travailler en groupe (avec 4 autres étudiants)	TC-3-P-PTIR
Capacité	Réaliser un travail individuel dans le cadre d'un projet de groupe	TC-3-P-PTIR
Capacité	Présentation synthétique et régulière, à l'oral, de ses travaux	TC-3-P-PTIR
Capacité	Rédaction d'une état de l'art	TC-3-P-PTIR
Capacité	Rédaction d'un rapport de synthèse d'une activité d'initiation recherche	TC-3-P-PTIR
Capacité	Savoir modéliser quelques problèmes d'ingénieirie en utilisant des outils analytiques (Chaine de Markov) ayant un inéteret dans différents domaines de l'ingénierie	TC-4-R-PRF
Capacité	Programmer un mécanisme d'appel système	TC-5-OP3-OSA
Capacité	Programmer un micro-contrôleur:	TC-5-OP3-BED
Capacité	Configurer un chip radio	TC-5-OP3-BED
Connaissance	Principales lois de probabilité des variables aléatoires discrètes et continues. Espérance, variance, fonction d'une variable aléatoire.	TC-3-R-PBS
Connaissance	Théorème de Bienaymé-Tchebycheff, Théorème de Bernouilli, Théorème central limite	TC-3-R-PBS
Connaissance	Couples de variables aléatoires : loi conjointe, lois marginales, conditionnelles. Covariance, cœf de corrélation. Fonction d'un couple de variables aléatoires	TC-3-R-PBS
Connaissance	Loi d'erlang, canal de rayleigh, détection	TC-3-R-PBS
Connaissance	Principales lois de probabilité des variables aléatoires discrètes et continues. Espérance, variance, fonction d'une variable aléatoire.	TC-3-R-PBS
Connaissance	Matlab, histogramme, caal de rayleigh	TC-3-R-PBS
Connaissance	Etat de l'art d'un sujet d'actualité en recherche	TC-3-P-PTIR
Connaissance	Méthodologie pour une étude bibliographique	TC-3-P-PTIR
Connaissance	Méthodologie pour réaliser un travail de recherche (théorique ou expérimental).	TC-3-P-PTIR
Connaissance	Connaître quelques outils analytiques et de simulation utiles pour la forumation de différents problèmes d'ingénierie	TC-4-R-PRF
Connaissance	Mode d'exécutions et privilèges CPU	TC-5-OP3-OSA
Connaissance	Appels système	TC-5-OP3-OSA
