GEN-3-ue-NRJ1;Energie - Procédés 1;GEN-3-comb;Combustion;competence;CE 1 Analyser un système (ou un problème) réel ou virtuel;2
;;;;competence;CE 2 Exploiter un modèle d'un système réel ou virtuel;2
;;;;competence;CE 3 Mettre en oeuvre une démarche expérimentale;2
;;;;competence;CE 5 Traiter des données;2
;;;;competence;CE 6 Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité;2
;;;;competence;CS 1 Concevoir, dimensionner, gérer et optimiser des systèmes énergétiques dans des contextes complexes et variés (ville, industrie, transport);1
;;;;competence;CS 2 Concevoir, dimensionner, et optimiser des installations de génie des procédés;1
;;;;capacité;être capable d'identifier les deux types de flamme dans un dispositif pratique;
;;;;capacité;être capable d'équilibrer une réaction chimique avec un combustible de formule générique;
;;;;capacité;être capable de calculer les grandeurs caractéristiques dans un dispositif industriel;
;;;;capacité;être capable de calculer la quantité de chaleur dégagée par une réaction;
;;;;capacité;être capable de calculer la température adiabatique de flamme;
;;;;capacité;être capable d'utiliser un diagramme d'Ostwald;
;;;;connaissance;connaître les caractéristiques des flammes de diffusion et de prémélange;
;;;;connaissance;connaître les principaux combustibles et comburants;
;;;;connaissance;connaître les grandeurs caractéristiques des milieux réactifs (vitesse fondamentale, rapport de mélange, richesse…);
;;;;connaissance;connaître les grandeurs caractéristiques pour les dispositifs industriels (pouvoir comburivore, fumigène, excès d'air…);
;;;;connaissance;connaître l'application du premier principe à une réaction chimique de combustion;
;;;;connaissance;connaître les méthodes pour déterminer la spontanéité d'une réaction de combustion;
;;;;connaissance;connaître la méthodologie pour la création du diagramme d'Ostwald;
GEN-3-ue-NRJ1;Energie - Procédés 1;GEN-3-cond;Conduction;competence;CE 1 Analyser un système (ou un problème) réel ou virtuel;2
;;;;competence;CE 2 Exploiter un modèle d'un système réel ou virtuel;2
;;;;competence;CE 3 Mettre en oeuvre une démarche expérimentale;2
;;;;competence;CE 5 Traiter des données;2
;;;;competence;CE 6 Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité;2
;;;;competence;CS 1 Concevoir, dimensionner, gérer et optimiser des systèmes énergétiques dans des contextes complexes et variés (ville, industrie, transport);1
;;;;competence;CS 2 Concevoir, dimensionner, et optimiser des installations de génie des procédés;1
;;;;capacité;être capable de choisir la solution existante de l'équation de la chaleur en 1D dans un solide en fonction du problème réel (permanent ou transitoire, avec ou sans source, géométrie, conditions aux limites);
;;;;capacité;être capable d'intégrer l'équation de la chaleur dans un solide, en régime permanent et en 1D, avec des géométries simples (plaque, cylindre, sphère), avec et sans sources;
;;;;capacité;être capable d'identifier les conditions aux limites d'un problème de conduction thermique réel et de les appliquer à la solution, de sorte à déterminer le champ de températures;
;;;;capacité;être capable de réaliser un bilan thermique sur un élément d'ailette infiniment petit de sorte à aboutir à l'équation différentielle régissant le champ de températures;
;;;;capacité;être capable de choisir la solution existante de l'équation différentielle régissant le champ de température dans une ailette  en fonction du problème réel (géométrie, conditions aux limites);
;;;;capacité;être capable de déterminer un flux ou une densité de flux à partir de l'équation spatio-temporelle de la température;
;;;;capacité;être capable de calculer l'efficacité d'une ailette ou d'une surface ailetée;
;;;;connaissance;connaître les concepts fondamendaux de la conduction thermique dans les solides : champ et gradients de températures, surface isotherme, flux et densité de flux, source, loi de Fourier;
;;;;connaissance;connaître l'équation de la chaleur et ses différentes solutions en régimes permanent et transitoire, pour des problèmes 1D dans des géométries simples (plaque, cylindre, sphère);
;;;;connaissance;connaître les différentes conditions aux limites d'un problème de conduction thermique;
;;;;connaissance;connaître les modèles thermiques des ailettes minces à section  constante et ailettes minces annulaires à épaisseur constante : champs de température, flux dissipé, efficacité d'ailette et de surface ailetée;
;;;;connaissance;connaître les nombres adimensionnels caractéristiques de la conduction thermique;
GEN-3-ue-NRJ1;Energie - Procédés 1;GEN-3-conv;Convection;competence;CE 1 Analyser un système (ou un problème) réel ou virtuel;2
;;;;competence;CE 2 Exploiter un modèle d'un système réel ou virtuel;2
;;;;competence;CE 3 Mettre en oeuvre une démarche expérimentale;2
;;;;competence;CE 5 Traiter des données;2
;;;;competence;CE 6 Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité;2
;;;;competence;CS 1 Concevoir, dimensionner, gérer et optimiser des systèmes énergétiques dans des contextes complexes et variés (ville, industrie, transport);1
;;;;competence;CS 2 Concevoir, dimensionner, et optimiser des installations de génie des procédés;1
;;;;capacité;Etre capable de calculer un coefficient de transfert de chaleur monophasique et en ébullition;
;;;;capacité;Etre capable d'écrire un bilan thermique en géométrie fermée;
;;;;capacité;Etre capable de déterminer des propiétés à la bonne température;
;;;;capacité;Etre capable d'évaluer la pertinence du résultat;
;;;;connaissance;Connaitre les différentes formes de convection (naturelle, forcée, changement de phase), les conditions limites, les différentes géométries (ouvertes, fermées);
;;;;connaissance;Connaitre les principaux phénomènes physiques associés;
;;;;connaissance;Connaitre les nombres adimensionnels caractéristiques de la convection;
;;;;connaissance;Connaitre les équations permettant d'identifier les différents régimes d'écoulement (laminaire, turbulent) et les longueurs d'établissement;
;;;;connaissance;Connaitre les lois de variation du coefficient de transfert de chaleur en monophasique et lors de l'ébullition;
GEN-3-ue-NRJ1;Energie - Procédés 1;GEN-3-mcflu;Mécanique des fluides;competence;CE 1 Analyser un système (ou un problème) réel ou virtuel;2
;;;;competence;CE 2 Exploiter un modèle d'un système réel ou virtuel;2
;;;;competence;CE 3 Mettre en oeuvre une démarche expérimentale;2
;;;;competence;CE 5 Traiter des données;2
;;;;competence;CE 6 Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité;2
;;;;competence;CS 1 Concevoir, dimensionner, gérer et optimiser des systèmes énergétiques dans des contextes complexes et variés (ville, industrie, transport);1
;;;;competence;CS 2 Concevoir, dimensionner, et optimiser des installations de génie des procédés;1
;;;;capacité;Faire des bilans des masses, de la quantité de mouvement et de l’énergie cinétique;
;;;;capacité;Etudier, modéliser et dimensionner en statique et en dynamique des écoulements hydrauliques et aérauliques en fluides parfaits et en fluides réels;
;;;;capacité;Choisir d'un volume de contrôle pour l’étude et le dimensionnement d'installations hydrauliques et aérauliques;
;;;;capacité;Réaliser une analyse dimensionnelle d'installations hydrauliques et aérauliques;
;;;;capacité;Utiliser des modèles réduits des écoulements dans le cas de couches limites laminaires ou turbulentes;
;;;;connaissance;Notion de déséquilibre et de transport;
;;;;connaissance;Descriptions du mouvement des fluides, différents régimes d’écoulements;
;;;;connaissance;Lois décrivant le mouvement d’un fluide (pression, gravité, inertie, viscosité);
;;;;connaissance;Nombres sans dimension en mécanique des fluides;
;;;;connaissance;Principe de portance et de trainée sur les objets placés dans un écoulement;
GEN-3-ue-NRJ1;Energie - Procédés 1;GEN-3-ray;Rayonnement;competence;CE 1 Analyser un système (ou un problème) réel ou virtuel;2
;;;;competence;CE 2 Exploiter un modèle d'un système réel ou virtuel;2
;;;;competence;CE 3 Mettre en oeuvre une démarche expérimentale;2
;;;;competence;CE 5 Traiter des données;2
;;;;competence;CE 6 Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité;2
;;;;competence;CS 1 Concevoir, dimensionner, gérer et optimiser des systèmes énergétiques dans des contextes complexes et variés (ville, industrie, transport);1
;;;;competence;CS 2 Concevoir, dimensionner, et optimiser des installations de génie des procédés;1
;;;;capacité;être capable de calculer des flux radiatifs émis, absorbés et réfléchis;
;;;;capacité;être capable d'effectuer un bilan radiatif dans une enceinte fermée;
;;;;capacité;être capable de mesurer des températures ou des propriétés radiatives par thermographie infrarouge;
;;;;connaissance;connaître les approches corpusculaires et ondulatoires du rayonnement (notions de fréquence, longueur d'onde, photons, angles solides);
;;;;connaissance;connaître les grandeurs radiatives fondamentales : luminance, densité de flux et flux (émis, absorbés, réfléchis, net);
;;;;connaissance;connaître le rayonnement du corps noir;
;;;;connaissance;connaître les propriétés radiatives caractérisant une surface (émissivité, absorptivité, réflectivité, transmittivité);
;;;;connaissance;connaître les méthodes de mesures de température par pyrométrie et caméras infrarouges;
;;;;connaissance;connaître les facteurs de formes et la méthode de résolution aux flux partants (radiosité);
;;;;connaissance;connaître l'effet photovoltaïque;
GEN-3-ue-NRJ1;Energie - Procédés 1;GEN-3-trans;Transferts thermiques couplés;competence;CE 1 Analyser un système (ou un problème) réel ou virtuel;2
;;;;competence;CE 2 Exploiter un modèle d'un système réel ou virtuel;2
;;;;competence;CS 1 Concevoir, dimensionner, gérer et optimiser des systèmes énergétiques dans des contextes complexes et variés (ville, industrie, transport);1
;;;;competence;CS 2 Concevoir, dimensionner, et optimiser des installations de génie des procédés;1
;;;;capacité;Etre capable d'identifier les différents modes de transferts thermiques dans une application réelle;
;;;;capacité;Etre capable de représenter sous forme d'un modèle nodal un problème de transferts thermiques combinés;
;;;;capacité;Etre capable d'écrire un bilan thermique à partir d'un modèle nodal afin d’obtenir des températures ou des flux de chaleur inconnus ;
;;;;capacité;Etre capable d'évaluer la pertinence du résultat;
;;;;connaissance;Connaître les différents modes de transferts thermiques, leur origine physique, les milieux  dans lesquels ils sont présents;
;;;;connaissance;Connaître  les lois élémentaires permettant de décrire chacun de ces modes ;
;;;;connaissance;Connaître les paramètres ou les propriétés élementaires liés à ces équations et leur ordre de grandeur;
GEN-3-ue-ENV1;Environnement 1;GEN-3-envir;Environnement : enjeux, concepts et outils;competence;CE 1 Analyser un système (ou un problème) réel ou virtuel;1
;;;;competence;CS 4 Intégrer les grands enjeux environnementaux dans les stratégies de développement des systèmes anthropiques;1
;;;;competence;CS 7 Concevoir et mettre en œuvre une démarche d'écologie industrielle et territoriale visant à optimiser la gestion des ressources et à limiter les impacts environnementaux;1
;;;;capacité;1- Capacité à évaluer les conséquences environnementales des activités anthropiques;
;;;;capacité;2- Capacité à intéger les aspects environnementaux dans les choix techniques et organisationnels ;
;;;;capacité; 3- Capacité à argumenter dans les débats de société relatifs aux impatcs environnementaux des systèmes industries et urbains;
;;;;capacité;4- Capacité à élargir et approfondir ses connaissances à partir des bases du cours et à communiquer sur un sujet environnemental particulier;
;;;;connaissance;1- Connaitre les principes de fonctionnement des écosystèmes et les caractéristiques générales des milieux naturels;
;;;;connaissance;2- Connaitre le cycle de l'eau, le cycle biogéochimique du carbone;
;;;;connaissance;3- Connaitre les types de pressions et d'impacts des activités anthropiques sur les milieux naturels, les écosystème et les cycles du carbone;
;;;;connaissance;4- Connaitre les conséquences de l'utilisation de l'eau par l'homme en terme de quantités prélevées et de pollutions engendrées.;
;;;;connaissance;5- Connaitre les paramètres utilisés pour décrire la qualité et le niveau de pollution de l'air et des milieux aquatiques;
;;;;connaissance;6- Connaitre les conséquences de la pollution de l'air et les enjeux associés;
;;;;connaissance;7- Connaitre les principes et méthodes de l'économie circulaire (recyclage, ...) et de l’écologie industrielle et territoriale ;
GEN-3-ue-OPI1;Outils pour l'ingénieur 1;GEN-3-math;Outils mathématiques et numériques;competence;CE 1 Analyser un système (ou un problème) réel ou virtuel;2
;;;;competence;CE 2 Exploiter un modèle d'un système réel ou virtuel;2
;;;;competence;CS 3 Maitrise des outils de calcul permettant d’analyser, de modéliser ou de contrôler un système énergétique ou un procédé;1
;;;;capacité;Etre capable résoudre une équation différentielle en utilisant différents outils;
;;;;capacité;Etre capable de résoudre l'équation de la chaleur dans diverses configurations;
;;;;capacité;Etre capable de modéliser et de résoudre un problème issu d'autres EC (mécanique des fluides, conduction, rayonnement, commande des procédés);
;;;;capacité;Etre capable de mettre en œuvre une stratégie numérique avec VBA;
;;;;connaissance;Connaître les transformations intégrales de Laplace et de Fourier;
;;;;connaissance;Connaître diverses techniques de résolution des équations différentielles;
;;;;connaissance;Connaître les fonctions spéciales (fonction gamma, fonctions d'erreur, fonctions de Bessel);
;;;;connaissance;Connaître l'analyse temps-fréquence;
;;;;connaissance;Connaître les bases mathématiques de l'analyse numérique;
