,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE33,Intitulé de l'EC,SHS1,Approche Globale de l'entreprise-economie,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Mettre en œuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 7,,Concevoir et développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 8,,Mettre en œuvre des principes et stratégies d’ordonnancements des taches et de gestion,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Se connaître, se gérer physiquement et mentalement",,,,,,,,,,,,,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,,,,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Faire preuve de créativité, innover, entreprendre",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Agir de manière responsable dans un monde complexe ,,,,,,,,,,,,,M,,,,,,,,,,,,
,Capacité," Apprendre à motiver l’intérêt, l’écoute, l’implication… de l’autre",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Donner du sens fort à sa communication,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,,,1,C,,,,,,,,,,,,
Economie,Capacité,Comprendre l’environnement économique et la nécessité de la performance ,,,,,,,,,,,,1,C,,,,,,,,,,,,
,Capacité,Comprendre la circulation des flux monétaires dans un environnement économique moderne,,,,,,,,,,,,1,C,,,,,,,,,,,,
,Capacité,Appréhender les contraintes de l’entreprise dans la concurrence d’une économie mondialisée ,,,,,,,,,,,,1,C,,,,,,,,,,,,
,Capacité,Comprendre le fonctionnement de la bourse et de quelques mécanismes financiers permettant aux entreprises de se financer,,,,,,,,,,,,1,C,,,,,,,,,,,,
Approche globale,Capacité,Comprendre les principes fondamentaux de fonctionnement d’une entreprise,,,,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,Comprendre et évaluer l’environnement d’une entreprise,,,,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,Déterminer le positionnement de l’entreprise en termes de création de valeurs et de risques ,,,,,,,,,,,,2,C,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economie,Connaissance,Le circuit économique et les différents agents économiques ,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Panorama de l’organisation du système productif ,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,La stratégie actuelle des entreprises face aux marchés financiers ,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,La stratégie des entreprises françaises dans le cadre de la mondialisation ,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,La régulation économique par les Etats ,,,,,,,,,,,,,,,,,,,,,,,,,
Approche globale,Connaissance,Définition d’une entrepriseet son fonctionnement,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Le diagnostic global (analyse de l’environnement et de l’entreprise) : processus et outils,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,La stratégie d’entreprise,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 7,,Travailler dans un contexte international et interculturel ,,,,,,,,,,,,,,,,,,,,,,,,,
